gene,cell_type
Fgf9,kidney loop of Henle cortical thick ascending limb epithelial cell
Fgfbp3,glioblast
Fgfbp3,neural progenitor cell
Fgfr1,skeletal muscle satellite cell
Fgfr1,muscle precursor cell
Fgfr1,vascular leptomeningeal cell (Mmus)
Fgfr2,neuron associated cell
Fgfr2,glial cell
Fgfr2,macroglial cell
Fgfr2,astrocyte
Fgfr2,Bergmann glial cell
Fgfr2,astrocyte of the cerebellum
Fgfr2,oligodendrocyte
Fgfr2,cerebellar Golgi cell
Fgfr2,leptomeningeal cell
Fgfr2,hepatic stellate cell
Fgfr3,glioblast
Fgfr3,chondrocyte
Fgfr4,skeletal muscle satellite cell
Fgfr4,muscle precursor cell
Fgg,hepatocyte
Fgl1,epithelial cell of prostate
Fgl1,luminal cell of prostate epithelium
Fgl1,basal cell of prostate epithelium
Fgr,classical monocyte
Fgr,plasmacytoid dendritic cell
Fgr,monocyte
Fgr,non-classical monocyte
Fgr,intermediate monocyte
Fhl2,cardiac muscle cell
Fhl2,mesangial cell
Fhod1,fibroblast of lung
Fibcd1,hypendymal cell
Fign,neuron associated cell (sensu Vertebrata)
Fign,oligodendrocyte precursor cell
Fign,mesangial cell
Fkbp5,DN3 thymocyte
Fkbp5,leptomeningeal cell
Fli1,blood vessel endothelial cell
Fli1,endothelial stalk cell
Fli1,endothelial cell of coronary artery
Fli1,cardiac endothelial cell
Flna,neuroendocrine cell
Flna,alveolar macrophage
Flna,lung macrophage
Flna,smooth muscle cell of trachea
Flna,granulocyte
Flna,neutrophil
Flnb,bladder urothelial cell
Flnb,bladder cell
Flt1,epithelial cell
Flt1,squamous epithelial cell
Flt1,blood vessel endothelial cell
Flt1,vein endothelial cell
Flt1,vasa recta descending limb cell
Flt1,endothelial stalk cell
Flt1,endothelial cell of coronary artery
Flt1,kidney efferent arteriole endothelial cell
Flt1,kidney capillary endothelial cell
Flt1,prostate gland microvascular endothelial cell
Flt1,endothelial cell
Flt1,endothelial cell of vascular tree
Flt1,cardiac endothelial cell
Flt3,dendritic cell
Flt3,plasmacytoid dendritic cell
Flt3,conventional dendritic cell
Flt3,myeloid dendritic cell
Flt3l,adventitial cell
Flt4,endothelial cell
Flt4,endothelial cell of lymphatic vessel
Flt4,endothelial cell of sinusoid
Flt4,endothelial cell of hepatic sinusoid
Fmc1,renal intercalated cell
Fmc1,renal beta-intercalated cell
Fmc1,kidney distal convoluted tubule epithelial cell
Fmod,stem cell
Fmod,mesenchymal stem cell
Fmod,club cell
Fmod,vascular leptomeningeal cell (Mmus)
Fmod,connective tissue cell
Fmod,stromal cell
Fmod,chondrocyte
Fn1,ciliated cell of the bronchus
Fn1,bronchial epithelial cell
Fn1,monocyte
Fn1,chondrocyte
Fndc5,pvalb GABAergic cortical interneuron
Folr1,kidney proximal convoluted tubule epithelial cell
Folr1,kidney proximal straight tubule epithelial cell
Folr1,seminal vesicle glandular cell
Folr1,pancreatic D cell
Folr1,pancreatic PP cell
Folr1,PP cell
Folr1,brush cell
Folr2,Kupffer cell
Folr2,lung macrophage
Fosl1,basal cell
Fosl1,basal cell of epidermis
Fosl1,skeletal muscle satellite cell
Fosl1,muscle precursor cell
Fosl1,bladder cell
Fosl2,neuroendocrine cell
Fosl2,basal epithelial cell of tracheobronchial tree
Fosl2,smooth muscle cell of trachea
Foxa1,urothelial cell
Foxa1,bladder urothelial cell
Foxa1,urethra urothelial cell
Foxa1,luminal cell of prostate epithelium
Foxa1,respiratory epithelial cell
Foxa1,epithelial cell of lower respiratory tract
Foxa1,club cell
Foxa1,basal epithelial cell of tracheobronchial tree
Foxa1,epithelial cell of urethra
Foxa1,bladder cell
Foxa2,respiratory epithelial cell
Foxa2,epithelial cell of lower respiratory tract
Foxa2,club cell
Foxc1,endocardial cell
Foxc2,pericyte
Foxc2,mural cell
Foxd1,vascular leptomeningeal cell
Foxd1,mesothelial fibroblast
Foxd1,stromal cell
Foxd3,Schwann cell
Foxf1,squamous epithelial cell
Foxf1,blood vessel endothelial cell
Foxf1,vein endothelial cell
Foxf1,endothelial cell of artery
Foxf1,capillary endothelial cell
Foxf1,mesothelial cell of pleura
Foxf1,mesothelial cell of visceral pleura
Foxf1,endothelial cell
Foxf1,endothelial cell of vascular tree
Foxf1,muscle cell
Foxf1,smooth muscle cell
Foxf1,vascular associated smooth muscle cell
Foxf1,aortic smooth muscle cell
Foxi1,kidney collecting duct epithelial cell
Foxi1,kidney collecting duct principal cell
Foxi1,renal principal cell
Foxi1,kidney collecting duct cell
Foxj1,ependymal cell
Foxj1,multi-ciliated epithelial cell
Foxj1,ciliated columnar cell of tracheobronchial tree
Foxj1,hypendymal cell
Foxj1,respiratory epithelial cell
Foxj1,epithelial cell of lower respiratory tract
Foxj1,club cell
Foxl2,granulosa cell
Foxl2,stromal cell of ovary
Foxl2,interstitial cell of ovary
Foxo1,chondrocyte
Foxo3,kidney loop of Henle ascending limb epithelial cell
Foxo3,kidney loop of Henle thick ascending limb epithelial cell
Foxo3,kidney loop of Henle medullary thick ascending limb epithelial cell
Foxo3,kidney loop of Henle cortical thick ascending limb epithelial cell
Foxo3,kidney loop of Henle thin ascending limb epithelial cell
Foxo3,kidney loop of Henle epithelial cell
Foxo3,kidney loop of Henle thin descending limb epithelial cell
Foxp1,vein endothelial cell
Foxp1,medium spiny neuron
Foxp1,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Foxp2,Purkinje cell
Foxp2,medium spiny neuron
Foxp2,corticothalamic-projecting glutamatergic cortical neuron
Foxp2,L6 corticothalamic-projecting glutamatergic cortical neuron
Foxp2,leptomeningeal cell
Foxp3,"CD4-positive, alpha-beta T cell"
Foxp4,Purkinje cell
Fpr1,blood cell
Fpr1,granulocyte
Fpr1,neutrophil
Fpr1,proerythroblast
Fpr2,alveolar macrophage
Fpr2,blood cell
Fpr2,granulocyte
Fpr2,neutrophil
Fpr2,myeloid leukocyte
Fpr2,immature B cell
Fpr2,myeloid cell
Fpr2,erythroid lineage cell
Fpr2,proerythroblast
Fras1,kidney loop of Henle thin descending limb epithelial cell
Frk,kidney collecting duct epithelial cell
Frk,kidney collecting duct principal cell
Frk,renal principal cell
Frk,kidney connecting tubule epithelial cell
Frk,kidney collecting duct cell
Frrs1l,pyramidal neuron
Frrs1l,glutamatergic neuron
Frrs1l,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron
Frrs1l,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Frrs1l,corticothalamic-projecting glutamatergic cortical neuron
Fryl,vasa recta descending limb cell
Fryl,kidney glomerular epithelial cell
Fryl,podocyte
Frzb,pancreatic D cell
Fscn1,skeletal muscle fiber
Fscn1,cell of skeletal muscle
Fscn1,mesenchymal cell
Fst,stem cell
Fst,mesenchymal stem cell of adipose tissue
Fst,keratinocyte stem cell
Fst,granulosa cell
Fst,smooth muscle cell of prostate
Fst,fibroblast of connective tissue of prostate
Fstl1,mesenchymal stem cell of adipose tissue
Fstl1,muscle cell
Fstl1,smooth muscle cell
Fstl1,vascular associated smooth muscle cell
Fstl1,aortic smooth muscle cell
Fstl1,vascular leptomeningeal cell
Fstl1,connective tissue cell
Fstl1,fibroblast of cardiac tissue
Fstl1,mesothelial fibroblast
Fstl1,stromal cell
Fstl1,stromal cell of ovary
Fstl1,interstitial cell of ovary
Fstl4,cerebellar Golgi cell
Fstl4,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Fstl5,interneuron
Fstl5,cortical interneuron
Fstl5,sncg GABAergic cortical interneuron
Fstl5,vip GABAergic cortical interneuron
Fstl5,inhibitory interneuron
Fstl5,GABAergic neuron
Fubp1,neural progenitor cell
Furin,alveolar macrophage
Fzd1,Schwann cell
Fzd2,keratinocyte stem cell
Fzd2,cell of skeletal muscle
Fzd2,mesenchymal cell
Fzd3,glioblast
Fzd3,ependymal cell
Fzd3,neural progenitor cell
Fzd4,capillary endothelial cell
Fzd6,pericyte
Fzd6,mural cell
G3bp1,mesothelial cell
G3bp1,skeletal muscle fiber
G6pc,ciliated epithelial cell
G6pc,epithelial cell of proximal tubule
G6pc,kidney proximal convoluted tubule epithelial cell
G6pc,kidney proximal straight tubule epithelial cell
G6pc,columnar/cuboidal epithelial cell
G6pc,kidney epithelial cell
G6pc,kidney cortex tubule cell
G6pc,epithelial cell of nephron
G6pc,kidney cell
G6pc2,epithelial cell
G6pc2,pancreatic endocrine cell
G6pc2,type B pancreatic cell
G6pc2,glandular epithelial cell
G6pc2,enteroendocrine cell
G6pc2,endocrine cell
G6pdx,blood cell
G6pdx,granulocyte
G6pdx,neutrophil
Gaa,sst chodl GABAergic cortical interneuron
Gab1,neuron associated cell
Gab1,glial cell
Gab1,macroglial cell
Gab1,oligodendrocyte
Gab1,pericyte
Gab1,mural cell
Gabbr2,cerebral cortex GABAergic interneuron
Gabbr2,lamp5 GABAergic cortical interneuron
Gabra1,cortical interneuron
Gabra1,cerebral cortex GABAergic interneuron
Gabra1,lamp5 GABAergic cortical interneuron
Gabra1,vip GABAergic cortical interneuron
Gabra1,pvalb GABAergic cortical interneuron
Gabra1,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Gabra2,sst chodl GABAergic cortical interneuron
Gabra2,hippocampal neuron
Gabra5,L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Gabra6,granule cell
Gabra6,cerebellar granule cell
Gabrb2,lamp5 GABAergic cortical interneuron
Gabrb3,neural cell
Gabrb3,neuron
Gabrb3,pyramidal neuron
Gabrb3,meis2 expressing cortical GABAergic cell
Gabrb3,L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Gabrb3,L6b glutamatergic cortical neuron
Gabrg3,interneuron
Gabrg3,cortical interneuron
Gabrg3,cerebral cortex GABAergic interneuron
Gabrg3,lamp5 GABAergic cortical interneuron
Gabrg3,vip GABAergic cortical interneuron
Gabrg3,pvalb GABAergic cortical interneuron
Gabrg3,inhibitory interneuron
Gabrg3,GABAergic neuron
Gabrg3,medium spiny neuron
Gabrg3,L5/6 near-projecting glutamatergic neuron of the primary motor cortex
Gabrp,respiratory epithelial cell
Gabrp,epithelial cell of lower respiratory tract
Gabrp,basal epithelial cell of tracheobronchial tree
Gad1,interneuron
Gad1,cortical interneuron
Gad1,cerebral cortex GABAergic interneuron
Gad1,lamp5 GABAergic cortical interneuron
Gad1,sncg GABAergic cortical interneuron
Gad1,vip GABAergic cortical interneuron
Gad1,sst GABAergic cortical interneuron
Gad1,sst chodl GABAergic cortical interneuron
Gad1,pvalb GABAergic cortical interneuron
Gad1,inhibitory interneuron
Gad1,GABAergic neuron
Gad1,meis2 expressing cortical GABAergic cell
Gad2,interneuron
Gad2,cortical interneuron
Gad2,cerebral cortex GABAergic interneuron
Gad2,lamp5 GABAergic cortical interneuron
Gad2,sncg GABAergic cortical interneuron
Gad2,vip GABAergic cortical interneuron
Gad2,sst GABAergic cortical interneuron
Gad2,sst chodl GABAergic cortical interneuron
Gad2,pvalb GABAergic cortical interneuron
Gad2,inhibitory interneuron
Gad2,GABAergic neuron
Gad2,meis2 expressing cortical GABAergic cell
Gadd45a,skeletal muscle satellite cell
Gadd45a,muscle precursor cell
Gadd45a,immature B cell
Gal,pancreatic acinar cell
Gal,acinar cell
Gal,alveolar macrophage
Gal,smooth muscle cell of prostate
Gal,skeletal muscle satellite cell
Gal,muscle precursor cell
Galnt14,sncg GABAergic cortical interneuron
Galnt14,vip GABAergic cortical interneuron
Galnt15,prostate gland microvascular endothelial cell
Galnt17,cerebellar Golgi cell
Galnt17,hippocampal neuron
Galnt18,astrocyte of the cerebellum
Gap43,sst chodl GABAergic cortical interneuron
Gap43,L5 extratelencephalic projecting glutamatergic cortical neuron
Gap43,Cajal-Retzius cell
Gap43,L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Gas1,keratinocyte stem cell
Gas1,mesothelial cell
Gas1,mesothelial cell of pleura
Gas1,mesothelial cell of visceral pleura
Gas1,skeletal muscle fiber
Gas1,cell of skeletal muscle
Gas1,fibroblast of cardiac tissue
Gas1,stromal cell of ovary
Gas1,interstitial cell of ovary
Gas1,adventitial cell
Gas6,pancreatic ductal cell
Gas6,mesothelial cell of pleura
Gas6,mesothelial cell of visceral pleura
Gas6,endocardial cell
Gata1,erythrocyte
Gata1,erythroid lineage cell
Gata2,tracheobronchial smooth muscle cell
Gata2,bronchial smooth muscle cell
Gata2,basophil
Gata2,eosinophil
Gata2,mature B cell
Gata2,naive B cell
Gata2,mast cell
Gata3,seminal vesicle glandular cell
Gata3,urothelial cell
Gata4,duct epithelial cell
Gata4,Sertoli cell
Gata4,granulosa cell
Gata4,ovarian surface epithelial cell
Gata4,Leydig cell
Gata5,glomerular endothelial cell
Gata6,mesothelial cell of pleura
Gata6,mesothelial cell of visceral pleura
Gata6,granulosa cell
Gata6,ovarian surface epithelial cell
Gbp2,prostate gland microvascular endothelial cell
Gbp2,Schwann cell
Gbp2b,endothelial cell of lymphatic vessel
Gcat,pancreatic acinar cell
Gcat,acinar cell
Gcg,epithelial cell
Gcg,pancreatic ductal cell
Gcg,pancreatic endocrine cell
Gcg,type B pancreatic cell
Gcg,pancreatic A cell
Gcg,pancreatic D cell
Gcg,pancreatic PP cell
Gcg,pancreatic acinar cell
Gcg,glandular epithelial cell
Gcg,enteroendocrine cell
Gcg,PP cell
Gcg,endocrine cell
Gcg,Schwann cell
Gcg,pancreatic stellate cell
Gcgr,kidney loop of Henle ascending limb epithelial cell
Gcgr,kidney loop of Henle thick ascending limb epithelial cell
Gch1,pancreatic endocrine cell
Gch1,type B pancreatic cell
Gch1,pancreatic A cell
Gch1,pancreatic D cell
Gch1,glandular epithelial cell
Gch1,enteroendocrine cell
Gch1,endocrine cell
Gch1,Langerhans cell
Gcnt3,goblet cell
Gcnt3,intestine goblet cell
Gcnt3,large intestine goblet cell
Gdf10,mesenchymal stem cell of adipose tissue
Gdf10,endothelial cell of lymphatic vessel
Gdf10,connective tissue cell
Gdf10,fibroblast
Gdf10,hepatic stellate cell
Gdf10,pancreatic stellate cell
Gdf10,fibroblast of connective tissue of prostate
Gdf10,stromal cell
Gdf10,mesangial cell
Gdf10,adventitial cell
Gdf2,hepatic stellate cell
Gdnf,skeletal muscle satellite cell
Gdnf,muscle precursor cell
Gdnf,Schwann cell
Gdpd2,glioblast
Gdpd2,hypendymal cell
Gem,mesenchymal stem cell of adipose tissue
Gem,smooth muscle cell of trachea
Gem,skeletal muscle satellite cell
Gem,muscle precursor cell
Gem,pulmonary interstitial fibroblast
Gfap,Schwann cell
Gfi1,T cell
Gfi1,mature T cell
Gfi1b,erythroid lineage cell
Gfpt1,type B pancreatic cell
Gfpt1,glandular epithelial cell
Gfpt1,goblet cell
Gfpt1,intestine goblet cell
Gfpt1,large intestine goblet cell
Gfpt2,stem cell
Gfpt2,mesenchymal stem cell
Gfpt2,mesenchymal stem cell of adipose tissue
Gfpt2,skeletal muscle satellite cell
Gfpt2,muscle precursor cell
Gfpt2,connective tissue cell
Gfpt2,fibroblast of cardiac tissue
Gfpt2,fibroblast of connective tissue of prostate
Gfpt2,chondrocyte
Gfpt2,adventitial cell
Gfra1,hypendymal cell
Gfra1,neuron associated cell (sensu Vertebrata)
Gfra1,oligodendrocyte precursor cell
Gfra3,Schwann cell
Gfra3,cardiac neuron
Ghr,ciliated epithelial cell
Ghr,epithelial cell of proximal tubule
Ghr,columnar/cuboidal epithelial cell
Ghr,brush cell
Ghr,kidney loop of Henle thin ascending limb epithelial cell
Ghr,kidney epithelial cell
Ghr,kidney cortex tubule cell
Ghr,epithelial cell of nephron
Ghr,kidney loop of Henle thin descending limb epithelial cell
Ghr,kidney cell
Ghrl,pancreatic A cell
Gimap4,kidney efferent arteriole endothelial cell
Gimap4,fenestrated cell
Gimap4,glomerular endothelial cell
Gimap4,T cell
Gimap4,alpha-beta T cell
Gimap4,immature alpha-beta T cell
Gimap4,immature NK T cell
Gimap4,mature alpha-beta T cell
Gimap4,"CD4-positive, alpha-beta T cell"
Gimap4,"CD8-positive, alpha-beta T cell"
Gimap4,mature NK T cell
Gimap4,mature T cell
Gimap4,regulatory T cell
Gimap4,DN4 thymocyte
Gimap4,natural killer cell
Gja1,keratinocyte
Gja1,stratified epithelial cell
Gja1,epidermal cell
Gja4,capillary endothelial cell
Gja4,endothelial cell of sinusoid
Gja4,endothelial cell of hepatic sinusoid
Gja4,kidney cortex artery cell
Gja4,smooth muscle cell of the pulmonary artery
Gja4,smooth muscle cell of trachea
Gja4,mesangial cell
Gja5,kidney efferent arteriole endothelial cell
Gja5,smooth muscle cell of the pulmonary artery
Gja5,mesangial cell
Gjb1,duct epithelial cell
Gjb1,pancreatic ductal cell
Gjb1,hepatocyte
Gjb2,vascular leptomeningeal cell (Mmus)
Gjb6,leptomeningeal cell
Gjb6,vascular leptomeningeal cell (Mmus)
Gjc1,vascular leptomeningeal cell
Gjc1,mesothelial fibroblast
Gjc1,pericyte
Gjc1,mural cell
Gjd2,epithelial cell
Gk,ciliated epithelial cell
Gk,epithelial cell of proximal tubule
Gk,columnar/cuboidal epithelial cell
Gk,kidney loop of Henle thin ascending limb epithelial cell
Gk,kidney epithelial cell
Gk,kidney glomerular epithelial cell
Gk,podocyte
Gk,kidney cortex tubule cell
Gk,epithelial cell of nephron
Gk,kidney loop of Henle thin descending limb epithelial cell
Gk,kidney cell
Gli3,astrocyte
Glis3,kidney loop of Henle ascending limb epithelial cell
Glis3,kidney loop of Henle thick ascending limb epithelial cell
Glis3,kidney loop of Henle medullary thick ascending limb epithelial cell
Glis3,kidney loop of Henle cortical thick ascending limb epithelial cell
Glis3,kidney loop of Henle thin ascending limb epithelial cell
Glis3,kidney glomerular epithelial cell
Glis3,kidney connecting tubule epithelial cell
Glis3,kidney loop of Henle epithelial cell
Glis3,kidney loop of Henle thin descending limb epithelial cell
Glis3,kidney cell
Glp1r,epithelial cell
Glud1,glioblast
Glyat,ciliated epithelial cell
Glyat,epithelial cell of proximal tubule
Glyat,kidney proximal convoluted tubule epithelial cell
Glyat,kidney proximal straight tubule epithelial cell
Glyat,columnar/cuboidal epithelial cell
Glyat,kidney epithelial cell
Glyat,podocyte
Glyat,kidney cortex tubule cell
Glyat,epithelial cell of nephron
Glyat,kidney cell
Gm2a,dendritic cell
Gm2a,CD141-positive myeloid dendritic cell
Gm2a,conventional dendritic cell
Gm2a,Langerhans cell
Gm2a,myeloid dendritic cell
Gm2a,CD1c-positive myeloid dendritic cell
Gm2a,monocyte
Gm2a,non-classical monocyte
Gm2a,intermediate monocyte
Gmds,intestinal crypt stem cell
Gmds,goblet cell
Gmds,intestine goblet cell
Gmds,large intestine goblet cell
Gmds,leptomeningeal cell
Gmnc,ependymal cell
Gmnn,megakaryocyte-erythroid progenitor cell
Gmnn,erythroblast
Gna13,Langerhans cell
Gna13,CD1c-positive myeloid dendritic cell
Gnai2,endothelial cell of artery
Gnai2,capillary endothelial cell
Gnal,medium spiny neuron
Gpa33,intestinal crypt stem cell
Gpa33,enterocyte
Gpa33,enterocyte of epithelium of large intestine
Gpa33,goblet cell
Gpa33,intestine goblet cell
Gpa33,large intestine goblet cell
Gpa33,intestinal epithelial cell
Gpa33,epithelial cell of large intestine
Gpc3,mesothelial cell
Gpc3,mesothelial cell of pleura
Gpc3,mesothelial cell of visceral pleura
Gpc3,Leydig cell
Gpc3,mesenchymal cell
Gpc4,kidney loop of Henle thin descending limb epithelial cell
Gpc6,astrocyte
Gpc6,Bergmann glial cell
Gpc6,leptomeningeal cell
Gpc6,pericyte
Gpc6,mural cell
Gpd1,vip GABAergic cortical interneuron
Gper1,vascular leptomeningeal cell
Gper1,mesothelial fibroblast
